Player,Team,Number,Position,Height,Weight,Last Attended,Country
Kim Anderson,POR,42,F,6-7,200,Missouri,USA
Kyle Anderson,MIN,5,F-G,6-9,230,UCLA,USA
Michael Anderson,SAS,10,G,5-11,184,Drexel,USA
Mitchell Anderson,UTA,11,F,6-8,195,Bradley,USA
Nick Anderson,ORL,5,F-G,6-6,228,Illinois,USA
Richard Anderson,POR,35,F,6-10,240,California-Santa Barbara,USA
Ron Anderson,PHI,35,F,6-7,215,Fresno State,USA
Ryan Anderson,NOP,31,F,6-10,240,California,USA
Shandon Anderson,NYK,49,G-F,6-6,215,Georgia,USA
Willie Anderson,SAS,35,G-F,6-8,200,Georgia,USA
Wally Anderzunas,SAC,21,C,6-7,220,Creighton,USA
Martynas Andriuskevicius,CLE,15,C,7-2,240,Zalgiris,Lithuania
Don Anielak,NYK,12,F,6-7,190,Missouri State,USA
Ike Anigbogu,IND,13,C-F,6-10,262,UCLA,USA
Michael Ansley,ORL,54,F,6-7,225,Alabama,USA
Chris Anstey,DAL,22,C,7-0,249,South East Melbourne,Australia
Giannis Antetokounmpo,MIL,34,F,7-0,243,Filathlitikos,Greece
Kostas Antetokounmpo,CHI,37,F,6-10,200,Dayton,Greece
Thanasis Antetokounmpo,MIL,43,F,6-7,219,Panathinaikos,Greece
Carmelo Anthony,LAL,7,F,6-7,238,Syracuse,USA
Cole Anthony,ORL,50,G,6-3,185,North Carolina,USA
Greg Anthony,NYK,50,G,6-1,180,UNLV,USA
Joel Anthony,MIA,30,C,6-9,245,UNLV,Canada
Pero Antic,ATL,6,F-C,6-11,260,Olympiacos,Macedonia
O. G.Anunoby,TOR,3,F,6-7,232,Indiana,United Kingdom
Keith Appling,ORL,15,G,6-1,185,Michigan State,USA
Rafael Araujo,TOR,55,C,6-11,270,Brigham Young,Brazil
Stacey Arceneaux,ATL,,F,6-4,210,Iowa State,USA
Nate Archibald,SAC,1,G,6-1,150,Texas-El Paso,USA
Robert Archibald,TOR,34,F,6-11,250,Illinois,Scotland
Ryan Arcidiacono,POR,51,G,6-3,195,Villanova,USA
Jim Ard,BOS,34,C,6-9,215,Cincinnati,USA
Gilbert Arenas,WAS,10,G,6-4,215,Arizona,USA
Trevor Ariza,LAL,8,F,6-8,215,UCLA,USA
Paul Arizin,GSW,11,F,6-4,190,Villanova,USA
Joe Arlauckas,SAC,53,F,6-9,230,Niagara,USA
B. J.Armstrong,CHI,11,G,6-2,185,Iowa,USA
Bob Armstrong,GSW,19,C,6-8,220,Michigan State,USA
Brandon Armstrong,BKN,1,G,6-5,185,Pepperdine,USA
Darrell Armstrong,ORL,10,G,6-1,180,Fayetteville State,USA
Hilton Armstrong,NOP,57,F-C,6-11,235,Connecticut,USA
Paul Armstrong,DET,3,G,5-11,170,Indiana,USA
Tate Armstrong,CHI,14,G,6-3,175,Duke,USA
Jesse Arnelle,DET,15-18,F,6-5,220,Penn State,USA
Jay Arnette,SAC,21,G,6-2,175,Texas-Austin,USA
Bob Arnzen,SAC,21-30,F,6-5,205,Notre Dame,USA
Carlos Arroyo,ORL,45,G,6-2,200,Florida International,Puerto Rico
Darrell Arthur,DEN,00,F,6-9,235,Kansas,USA
John Arthurs,MIL,12,G,6-4,185,Tulane,USA
Jamel Artis,ORL,0,G,6-7,213,Pittsburgh,USA
Omer Asik,NOP,3,C,7-0,255,Fenerbahce,Turkey
Vincent Askew,OKC,22,F,6-6,235,Memphis,USA
Keith Askins,MIA,2,F-G,6-8,215,Alabama,USA
Don Asmonga,BAL,,G,6-2,185,Alliance,USA
Richard Atha,NYK,7,G,6-2,190,Indiana State,USA
Chucky Atkins,DET,17.0,G,5-11,185,South Florida,USA
Alvin Attles,GSW,16.0,G,6-1,175,North Carolina A&T,USA
Chet Aubuchon,DEF,,G,5-10,137,Michigan State,USA
Stacey Augmon,ATL,2.0,F-G,6-8,213,UNLV,USA
D. J.Augustin,LAL,4.0,G,5-11,183,Texas-Austin,USA
James Augustine,ORL,40.0,F,6-10,235,Illinois,USA
Ike Austin,MIA,9.0,C,6-10,270,Arizona State,USA
John Austin,WAS,34.0,G,6-0,170,Boston College,USA
Ken Austin,DET,34.0,F,6-9,205,Rice,USA
Deni Avdija,WAS,9.0,F,6-9,210,Maccabi Tel Aviv,Israel
Anthony Avent,MIL,30.0,C,6-9,240,Seton Hall,USA
William Averitt,LAC,15.0,G,6-2,170,Pepperdine,USA
William Avery,MIN,30.0,G,6-2,180,Duke,USA
Dennis Awtrey,PHX,20.0,C,6-10,235,Santa Clara,USA
Joel Ayayi,WAS,17.0,G,6-4,180,Gonzaga,France
Gustavo Ayon,NOP,14.0,F-C,6-10,250,Baloncesto Fuenlabrada,Mexico
Jeff Ayres,SAS,19.0,F-C,6-9,250,Arizona State,USA
Deandre Ayton,PHX,22.0,C,7-0,250,Arizona,Bahamas
Kelenna Azubuike,GSW,4.0,G,6-5,215,Kentucky,United Kingdom
Udoka Azubuike,UTA,20.0,C-F,6-11,270,Kansas,Nigeria
Chris Babb,BOS,52.0,G,6-5,225,Iowa State,USA
Luke Babbitt,NOP,22.0,F,6-9,225,Nevada-Reno,USA
Milos Babic,CLE,0.0,C,7-0,240,Tennessee Tech,USA
Johnny Bach,BOS,17.0,F,6-2,180,Fordham,USA
Dwayne Bacon,LAL,8.0,G-F,6-6,221,Florida State,USA
Ibou Badji,POR,41.0,C,7-1,240,FC Barcelona,Senegal
Jim Baechtold,NYK,10.0,F,6-4,205,Eastern Kentucky,USA
Dalibor Bagaric,CHI,11.0,C,7-1,290,Benston Zagreb,Croatia
John Bagley,CLE,5.0,G,6-0,185,Boston College,USA
Marvin Bagley III,DET,35.0,F,6-10,235,Duke,USA
Carl Bailey,POR,21.0,C,7-0,210,Tuskegee,USA
Gus Bailey,HOU,20.0,G,6-5,185,Texas-El Paso,USA
James Bailey,OKC,2.0,F,6-9,220,Rutgers,USA
Thurl Bailey,UTA,41.0,F,6-11,247,North Carolina State,USA
Toby Bailey,PHX,11.0,G,6-6,213,UCLA,USA
Cameron Bairstow,CHI,41.0,F-C,6-9,250,New Mexico,Australia
Mark Baker,TOR,3.0,G,6-1,175,Ohio State,USA
Maurice Baker,POR,12.0,G,6-1,185,Oklahoma State,USA
Norm Baker,CHS,,G,6-0,180,Victoria,Canada
Ron Baker,NYK,31.0,G,6-4,220,Wichita State,USA
Vin Baker,OKC,34.0,F,6-11,240,Hartford,USA
Wade Baldwin IV,MEM,2.0,G,6-4,202,Vanderbilt,USA
Patrick Baldwin Jr.,GSW,7.0,F,6-9,220,Wisconsin-Milwaukee,USA
Renaldo Balkman,NYK,32.0,F,6-8,208,South Carolina,USA
Cedric Ball,LAC,44.0,F,6-8,210,North Carolina-Charlotte,USA
La MeloBall,CHA,1.0,G,6-7,180,Illawarra,USA
Lonzo Ball,CHI,2.0,G,6-6,190,UCLA,USA
Greg Ballard,WAS,42.0,F,6-7,215,Oregon,USA
Herschel Baltimore,BOM,,F,6-4,195,Penn State,USA
Mo Bamba,LAL,12.0,C,7-0,231,Texas,USA
Paolo Banchero,ORL,5,F,6-10,250,Duke,USA
Desmond Bane,MEM,22,G,6-5,215,TCU,USA
Gene Banks,SAS,20,F,6-7,215,Duke,USA
Marcus Banks,BOS,15,G,6-2,205,UNLV,USA
Ken Bannister,NYK,51,F,6-9,235,St. Augustine's,USA
Mike Bantom,IND,42,F,6-9,200,St. Joseph's (PA),USA
Dalano Banton,TOR,45,F,6-7,204,Nebraska,Canada
Cat Barber,ATL,5,G,6-1,173,North Carolina State,USA
John Barber,ATL,25,F,6-6,210,California State-Los Angeles,USA
Leandro Barbosa,PHX,19,G,6-3,194,Bauru,Brazil
Stephen Bardo,DAL,25,G,6-5,190,Illinois,USA
J. J.Barea,DAL,5,G,5-10,180,Northeastern,Puerto Rico
Andrea Bargnani,TOR,77,C-F,7-0,245,Benetton Treviso,Italy
Cliff Barker,INO,,G,6-2,185,Kentucky,USA
Tom Barker,ATL,6,C,6-11,225,Hawaii,USA
Charles Barkley,PHI,34,F,6-6,252,Auburn,USA
Erick Barkley,POR,1,G,6-1,185,St. John's (NY),USA
Don Barksdale,BOS,17,F,6-6,200,UCLA,USA
Dominick Barlow,SAS,26,F,6-9,215,,USA
Harrison Barnes,SAC,40,F,6-8,225,North Carolina,USA
Harry Barnes,HOU,30,F,6-3,205,Northeastern,USA
Jim Barnes,BOS,12,C,6-8,210,Texas-El Paso,USA
Marvin Barnes,LAC,27,F,6-9,210,Providence,USA
Matt Barnes,LAC,22,F,6-7,226,UCLA,USA
Scottie Barnes,TOR,4,F,6-8,225,Florida State,USA
Dick Barnett,NYK,12,G,6-4,190,Tennessee State,USA
Jim Barnett,GSW,33,G,6-4,170,Oregon,USA
John Barnhill,ATL,11,G,6-1,180,Tennessee State,USA
Norton Barnhill,OKC,10,G,6-4,205,Washington State,USA
Leo Barnhorst,INO,8-15,F,6-4,190,Notre Dame,USA
John Barr,BOM,,F,6-3,205,Penn State,USA
Mike Barr,SAC,34,G,6-3,180,Duquesne,USA
Thomas Barr,SAC,19,G,6-4,195,Duquesne,USA
Andre Barrett,HOU,11,G,5-10,173,Seton Hall,USA
Ernie Barrett,BOS,23,G,5-8,180,Kansas State,USA
R JBarrett,NYK,9,F-G,6-6,214,Duke,Canada
Earl Barron,MIA,30,F-C,7-0,250,Memphis,USA
Dana Barros,BOS,,G,5-11,165,Boston College,USA
Brent Barry,OKC,17,G,6-7,210,Oregon State,USA
Drew Barry,ATL,10,G,6-5,191,Georgia Tech,USA
Jon Barry,MIL,20,G,6-5,210,Georgia Tech,USA
Rick Barry,GSW,24,F,6-7,205,Miami,USA
Ed Bartels,WAS,,F,6-6,195,North Carolina State,USA
Vic Bartolome,GSW,20,C,7-0,230,Oregon State,USA
Will Barton,TOR,1,G,6-5,181,Memphis,USA
Eddie Basden,CHI,13,G,6-5,215,North Carolina-Charlotte,USA
Jerry Baskerville,PHI,44,F,6-7,190,Temple,USA
Brandon Bass,BOS,30,F,6-8,250,Louisiana State,USA
Paris Bass,PHX,,F,6-8,200,Detroit Mercy,USA
Tim Bassett,BKN,21,F,6-8,225,Georgia,USA
Charles Bassey,SAS,28.0,C-F,6-9,230,Western Kentucky,Nigeria
Maceo Baston,IND,9.0,F,6-10,230,Michigan,USA
Mengke Bateer,DEN,14.0,C,6-11,290,Beijing,China
Billyray Bates,POR,35.0,G,6-4,210,Kentucky State,USA
Keita Bates-Diop,SAS,31.0,F,6-8,229,Ohio State,USA
Esteban Batista,ATL,11.0,F-C,6-10,268,Trouville,Uruguay
Mike Batiste,MEM,33.0,F,6-8,225,Arizona State,USA
Tony Battie,BOS,4.0,C,6-11,240,Texas Tech,USA
Shane Battier,MEM,31.0,F,6-8,220,Duke,USA
John Battle,ATL,10.0,G,6-2,175,Rutgers,USA
Kenny Battle,PHX,8.0,G,6-6,210,Illinois,USA
Dave Batton,WAS,45.0,C,6-10,240,Notre Dame,USA
Nicolas Batum,LAC,33.0,G-F,6-8,230,Le Mans,France
Johnny Baum,CHI,14.0,F,6-5,200,Temple,USA
Frankie Baumholtz,CLR,,G,5-10,170,Ohio,USA
Lonny Baxter,CHI,35.0,F,6-8,260,Maryland,USA
Jerryd Bayless,MIL,8.0,G,6-3,200,Arizona,USA
