Player,Team,Number,Position,Height,Weight,Last Attended,Country
Bob Dille,DEF,,F,6-3,190,Valparaiso,USA
John Dillon,WAS,,F,6-3,180,North Carolina,USA
Byron Dinkins,HOU,5.0,G,6-1,170,North Carolina-Charlotte,USA
Jackie Dinkins,CHI,23.0,F,6-5,210,Voorhees,USA
Bill Dinwiddie,SAC,20.0,F,6-7,220,New Mexico Highlands,USA
Spencer Dinwiddie,BKN,26.0,G,6-5,215,Colorado,USA
Ike Diogu,GSW,50.0,F,6-9,250,Arizona State,USA
De SaganaDiop,DAL,2.0,C,7-0,280,No College,Senegal
Terry Dischinger,DET,42.0,F,6-7,189,Purdue,USA
Fred Diute,ATL,4.0,G,6-3,210,St. Bonaventure,USA
Vlade Divac,LAL,21.0,C,7-1,260,Partizan,Serbia
Juan Dixon,WAS,12.0,G,6-3,165,Maryland,USA
Aleksandar Djordjevic,POR,19.0,G,6-2,198,Fortitudo Bologna,Serbia
Earl Dodd,DN,,F,6-5,175,Truman State,USA
Michael Doleac,ORL,51.0,C,6-11,262,Utah,USA
Joe Dolhon,BAL,,G,6-0,175,New York University,USA
Bob Doll,BOM,19.0,F,6-4,195,Colorado,USA
James Donaldson,DAL,54.0,C,7-2,275,Washington State,USA
Luka Doncic,DAL,77.0,F-G,6-7,230,Real Madrid,Slovenia
Bob Donham,BOS,12.0,G,6-2,190,Ohio State,USA
Billy Donovan,NYK,1.0,G,5-11,171,Providence,USA
Harry Donovan,NYK,16.0,G,6-2,180,Muhlenberg,USA
Keyon Dooling,LAC,55.0,G,6-3,195,Missouri,USA
Jacky Dorsey,OKC,34.0,F,6-7,230,Georgia,USA
Joey Dorsey,HOU,8.0,C-F,6-9,275,Memphis,USA
Tyler Dorsey,DAL,22.0,G,6-5,183,Oregon,USA
Luguentz Dort,OKC,5.0,G,6-4,220,Arizona State,Canada
Ayo Dosunmu,CHI,12.0,G,6-5,200,Illinois,USA
Damyean Dotson,NYK,21.0,G,6-5,210,Houston,USA
Devon Dotson,WAS,3.0,G,6-2,185,Kansas,USA
Quincy Douby,SAC,5.0,G,6-3,175,Rutgers,USA
Bruce Douglas,SAC,42.0,G,6-3,195,Illinois,USA
John Douglas,LAC,13.0,G,6-2,170,Kansas,USA
Leon Douglas,DET,13.0,C,6-10,230,Alabama,USA
Sherman Douglas,BOS,11.0,G,6-1,195,Syracuse,USA
Toney Douglas,NYK,16.0,G,6-2,195,Florida State,USA
Chris Douglas-Roberts,BKN,55.0,G,6-7,210,Memphis,USA
Sekou Doumbouya,LAL,45.0,F,6-8,230,Limoges,France
Lloyd Dove,DET,44.0,F,6-8,198,St. John's (NY),USA
Zabian Dowdell,PHX,22.0,G,6-3,191,Virginia Tech,USA
Bill Downey,PRO,,C,6-6,210,Marquette,USA
Steve Downing,BOS,32.0,C,6-8,225,Indiana,USA
Jeff Dowtin Jr.,TOR,20.0,G,6-3,177,Rhode Island,USA
Danny Doyle,DET,14.0,F,6-8,200,Belmont Abbey,USA
Milton Doyle,BKN,14.0,G,6-4,180,Loyola (IL),USA
P JDozier,SAC,35.0,G-F,6-6,205,South Carolina,USA
Terry Dozier,CHA,23.0,F,6-9,210,South Carolina,USA
Goran Dragic,MIL,7.0,G,6-4,190,Union Olimpija,Slovenia
Zoran Dragic,MIA,12.0,G-F,6-5,200,Malaga,Slovenia
Greg Dreiling,IND,50.0,C,7-1,265,Kansas,USA
Bryce Drew,HOU,17.0,G,6-3,184,Valparaiso,USA
John Drew,ATL,22.0,F,6-6,205,Gardner-Webb,USA
Larry Drew,SAC,10.0,G,6-1,170,Missouri,USA
Larry Drew II,PHI,1.0,G,6-2,180,UCLA,USA
Clyde Drexler,POR,22.0,G,6-7,222,Houston,USA
Nate Driggers,BOS,27.0,G-F,6-5,215,Montevallo,USA
Terry Driscoll,MIL,7.0,F,6-7,215,Boston College,USA
Predrag Drobnjak,OKC,14.0,C,6-11,270,Efes Pilsen,Serbia
Ralph Drollinger,DAL,52.0,C,7-2,250,UCLA,USA
Andre Drummond,CHI,3.0,C,6-11,279,Connecticut,USA
Dennis DuVal,WAS,21.0,G,6-3,175,Syracuse,USA
Chris Duarte,IND,3.0,G,6-5,190,Oregon,Dominican Republic
Dick Duckett,SAC,10.0,G,6-1,185,St. John's (NY),USA
Kevin Duckworth,POR,0.0,C,7-0,300,Eastern Illinois,USA
Charles Dudley,GSW,5.0,G,6-2,180,Washington,USA
Chris Dudley,POR,14.0,C,6-11,260,Yale,USA
Jared Dudley,PHX,10.0,F,6-6,237,Boston College,USA
Terry Duerod,DET,40.0,G,6-2,180,Detroit,USA
Bob Duffy,CHS,17.0,F,6-4,175,Tulane,USA
Bob Duffy,DET,,G,6-3,185,Colgate,USA
Chris Duhon,CHI,21.0,G,6-1,190,Duke,USA
Duje Dukan,SAC,26.0,F,6-9,220,Wisconsin,Croatia
David Duke Jr.,BKN,6.0,G,6-4,204,Providence,USA
Walter Dukes,DET,23.0,C,7-0,220,Seton Hall,USA
Joe Dumars,DET,4.0,G,6-3,195,McNeese State,USA
Richard Dumas,PHX,7.0,F,6-7,225,Oklahoma State,USA
Tony Dumas,DAL,7.0,G,6-6,190,Missouri-Kansas City,USA
Andy Duncan,SAC,21.0,F,6-6,195,William & Mary,USA
Tim Duncan,SAS,21.0,C-F,6-11,250,Wake Forest,US Virgin Islands
Mike Dunleavy,GSW,34.0,G-F,6-9,230,Duke,USA
Mike Dunleavy,HOU,,G,6-3,180,South Carolina,USA
Kris Dunn,UTA,11.0,G,6-3,205,Providence,USA
Pat Dunn,GSW,19.0,G,6-2,170,Utah State,USA
T. R.Dunn,DEN,23.0,G,6-4,192,Alabama,USA
Ronald Dupree,DET,12.0,F,6-7,209,Louisiana State,USA
Kevin Durant,PHX,35.0,F,6-10,240,Texas,USA
Jalen Duren,DET,0.0,C,6-11,250,Memphis,USA
John Duren,UTA,44.0,G,6-3,195,Georgetown,USA
Pat Durham,MIN,30.0,F,6-7,210,Colorado State,USA
Devin Durrant,IND,17.0,F,6-7,200,Brigham Young,USA
Ken Durrett,SAC,33.0,F,6-7,190,La Salle,USA
Trevon Duval,MIL,0.0,G,6-2,189,Duke,USA
Jack Dwan,LAL,19.0,F,6-4,200,Loyola-Chicago,USA
Craig Dykema,PHX,35.0,F,6-8,190,Long Beach State,USA
Gene Dyker,ATL,5.0,F,6-6,225,DePaul,USA
Jerome Dyson,NOP,11.0,G,6-3,180,Connecticut,USA
Ledell Eackles,WAS,21.0,G,6-5,231,New Orleans,USA
Jim Eakins,SAC,24.0,C,6-11,215,Brigham Young,USA
Acie Earl,BOS,55.0,F-C,6-11,240,Iowa,USA
Ed Earle,PHI,6.0,F,6-3,190,Loyola-Chicago,USA
Cleanthony Early,NYK,11.0,F,6-8,210,Wichita State,USA
Tari Eason,HOU,17.0,F,6-8,215,Louisiana State,USA
Mark Eaton,UTA,53.0,C,7-4,275,UCLA,USA
Jerry Eaves,UTA,22.0,G,6-4,180,Louisville,USA
Devin Ebanks,LAL,3.0,F,6-9,215,West Virginia,USA
Bill Ebben,DET,6.0,G,6-4,190,Detroit,USA
Al Eberhard,DET,44.0,F,6-6,225,Missouri,USA
Ndudi Ebi,MIN,44.0,F,6-9,195,Westbury Christian HS (TX),USA
Jaime Echenique,WAS,12.0,C,6-10,258,Wichita State,Colombia
Jarell Eddie,WAS,31.0,G-F,6-7,218,Virginia Tech,USA
Patrick Eddie,NYK,41.0,C,6-11,240,Mississippi,USA
Thomas Eddleman,DET,12.0,F,6-2,189,Illinois,USA
Kent Edelin,IND,,F,6-8,205,Virginia,USA
Keith Edmonson,SAS,10.0,G,6-5,195,Purdue,USA
Tyus Edney,SAC,2.0,G,5-10,166,UCLA,USA
Anthony Edwards,MIN,1.0,G,6-4,225,Georgia,USA
Bill Edwards,PHI,40.0,F,6-8,215,Wright State,USA
Blue Edwards,UTA,30.0,G-F,6-4,229,East Carolina,USA
Carsen Edwards,DET,4.0,G,5-11,200,Purdue,USA
Corsley Edwards,NOP,34.0,F,6-9,275,Central Connecticut State,USA
Doug Edwards,ATL,32.0,F,6-7,235,Florida State,USA
Franklin Edwards,PHI,10.0,G,6-1,170,Cleveland State,USA
James Edwards,IND,53.0,C,7-1,252,Washington,USA
Jay Edwards,LAC,3.0,F,6-4,185,Indiana,USA
John Edwards,ATL,54.0,C,7-0,275,Kent State,USA
Kessler Edwards,SAC,14.0,F,6-7,203,Pepperdine,USA
Kevin Edwards,MIA,21.0,G,6-3,210,DePaul,USA
Rob Edwards,OKC,,G,6-5,205,Arizona State,USA
Shane Edwards,CLE,,,,,Arkansas-Little Rock,USA
Vincent Edwards,HOU,12.0,F,6-8,225,Purdue,USA
Johnny Egan,WAS,21.0,G,6-0,180,Providence,USA
Lonnie Eggleston,BOM,,G,6-0,170,Oklahoma State,USA
Eddie Ehlers,BOS,14.0,G,6-3,198,Purdue,USA
Craig Ehlo,CLE,3.0,G,6-7,205,Washington State,USA
Dick Eichhorst,ATL,,G,6-3,200,Southeast Missouri,USA
Howard Eisley,UTA,10.0,G,6-2,185,Boston College,USA
Obinna Ekezie,ATL,14.0,F-C,6-9,270,Maryland,Nigeria
Khalid El-Amin,CHI,11.0,G,5-10,200,Connecticut,USA
Don Eliason,BOS,14.0,F,6-2,210,Hamline,USA
Mario Elie,HOU,17.0,G-F,6-5,225,American International,USA
C JElleby,MIN,16.0,F-G,6-6,200,Washington State,USA
Ray Ellefson,NYK,,C,6-8,230,West Texas A&M,USA
Henry Ellenson,DET,13.0,F,6-11,245,Marquette,USA
Wayne Ellington,LAL,2.0,G,6-4,207,North Carolina,USA
Bob Elliott,BKN,54.0,C,6-9,225,Arizona,USA
Sean Elliott,SAS,32.0,F,6-8,220,Arizona,USA
Alexander Ellis,LAL,30.0,F,6-5,185,Niagara,USA
Bo Ellis,DEN,31.0,F,6-9,197,Marquette,USA
Dale Ellis,OKC,9.0,G-F,6-7,215,Tennessee,USA
Harold Ellis,LAC,3.0,F-G,6-5,220,Morehouse,USA
Joe Ellis,GSW,31.0,F,6-6,175,San Francisco,USA
Keon Ellis,SAC,23.0,G,6-3,175,Alabama,USA
La PhonsoEllis,DEN,3.0,F,6-8,240,Notre Dame,USA
Le RonEllis,CHA,28.0,C,6-9,225,Syracuse,USA
Leroy Ellis,LAL,25.0,F,6-11,210,St. John's (NY),USA
Monta Ellis,GSW,11.0,G,6-3,185,No College,USA
Pervis Ellison,WAS,29.0,C-F,6-10,235,Louisville,USA
Len Elmore,BKN,44.0,C,6-10,220,Maryland,USA
Francisco Elson,DEN,16.0,C-F,7-0,240,California,Netherlands
Darrell Elston,IND,15.0,G,6-3,190,North Carolina,USA
Melvin Ely,CHA,4.0,C-F,6-10,260,Fresno State,USA
Joel Embiid,PHI,21.0,C-F,7-0,280,Kansas,Cameroon
Wayne Embry,SAC,15.0,C,6-8,240,Miami (Ohio),USA
Andre Emmett,MEM,14.0,G,6-5,230,Texas Tech,USA
Ned Endress,CLR,,F,6-2,200,Akron,USA
Chris Engler,GSW,50.0,C,6-11,245,Wyoming,USA
Wayne Englestad,DEN,43.0,F,6-8,245,California-Irvine,USA
A. J.English,WAS,14.0,G,6-3,175,Virginia Union,USA
Alex English,DEN,2.0,F,6-8,190,South Carolina,USA
Claude English,POR,15.0,G,6-4,185,Rhode Island,USA
Jojo English,CHI,3.0,G,6-4,195,South Carolina,USA
Kim English,DET,24.0,G,6-6,200,Missouri,USA
Scott English,PHX,14.0,F,6-6,205,Texas-El Paso,USA
Gene Englund,BOS,10.0,F,6-4,205,Wisconsin,USA
Tyler Ennis,LAL,10.0,G,6-3,194,Syracuse,Canada
James Ennis III,DEN,11.0,F,6-6,215,Cal State-Long Beach,USA
Ray Epps,GSW,32.0,F,6-6,195,Norfolk State,USA
Semih Erden,BOS,9.0,C,7-0,240,Fenerbahce,Turkey
Bo Erias,LAL,,F,6-3,220,Niagara,USA
Keith Erickson,LAL,14.0,F,6-5,195,UCLA,USA
Julius Erving,PHI,6.0,F,6-7,200,Massachusetts,USA
Evan Eschmeyer,BKN,0.0,C,6-11,250,Northwestern,USA
Jack Eskridge,JET,,,,,Kansas,USA
Vincenzo Esposito,TOR,4.0,G,6-3,198,Fortitudo Bologna,Italy
Drew Eubanks,POR,24.0,F-C,6-10,245,Oregon State,USA
Bob Evans,INO,,G,6-2,175,Butler,USA
Brian Evans,ORL,11.0,F,6-8,220,Indiana,USA
Earl Evans,DET,,F,6-8,202,UNLV,USA
Jacob Evans,GSW,12.0,G-F,6-4,210,Cincinnati,USA
Jawun Evans,LAC,8.0,G,6-0,190,Oklahoma State,USA
Jeremy Evans,UTA,6.0,F,6-9,200,Western Kentucky,USA
Maurice Evans,ATL,6.0,G-F,6-5,220,Texas,USA
Mike Evans,DEN,5.0,G,6-1,170,Kansas State,USA
Reggie Evans,OKC,30.0,C-F,6-8,245,Iowa,USA
Tyreke Evans,SAC,12.0,G-F,6-6,220,Memphis,USA
Daniel Ewing,LAC,3.0,G,6-3,185,Duke,USA
Patrick Ewing,NYK,33.0,C,7-0,255,Georgetown,Jamaica
Patrick Ewing,NOP,22.0,F,6-8,235,Georgetown,USA
Dante Exum,UTA,5.0,G,6-5,214,Australian Institute of Sport,Australia
Christian Eyenga,CLE,88.0,F,6-7,210,DKV Joventut,Congo
Festus Ezeli,GSW,31.0,C,6-11,265,Vanderbilt,Nigeria
Johnny Ezersky,BAL,10.0,F-G,6-3,175,Rhode Island,USA
Joe Fabel,PIT,,F,6-1,190,Pittsburgh,USA
John Fairchild,LAL,33.0,F,6-7,205,Brigham Young,USA
Tacko Fall,CLE,99.0,C,7-5,311,UCF,Senegal
Phil Farbman,GSW,8.0,F,6-1,185,City College of New York,USA
Kenneth Faried,DEN,35.0,F-C,6-8,220,Morehead State,USA
Dick Farley,PHI,22.0,G,6-4,190,Indiana,USA
Jordan Farmar,LAL,4.0,G,6-2,180,UCLA,USA
Desmon Farmer,OKC,33.0,G,6-5,220,Southern California,USA
Jim Farmer,OKC,22.0,F,6-4,190,Alabama,USA
Mike Farmer,ATL,12.0,F,6-7,210,San Francisco,USA
Tony Farmer,GSW,8.0,F,6-9,244,Nebraska,USA
Bob Faught,CLR,,F,6-5,185,Notre Dame,USA
Vitor Faverani,BOS,38.0,C,6-11,260,Valencia,Brazil
Derrick Favors,ATL,15.0,F,6-9,265,Georgia Tech,USA
Nick Fazekas,LAC,20.0,F,6-11,235,Nevada-Reno,USA
Dave Fedor,GSW,17.0,F,6-6,190,Florida State,USA
Bob Feerick,WAS,,G,6-3,190,Santa Clara,USA
Butch Feher,PHX,7.0,G,6-4,185,Vanderbilt,USA
Jamie Feick,BKN,14.0,F,6-8,255,Michigan State,USA
Ron Feiereisel,LAL,22.0,G,6-3,185,DePaul,USA
George Feigenbaum,BAL,,G,6-1,185,Kentucky,USA
Dave Feitl,HOU,45.0,C,6-11,235,Texas-El Paso,USA
Kay Felder,CLE,22.0,G,5-9,176,Oakland,USA
Cristiano Felicio,CHI,6.0,F-C,6-11,270,Flamengo,Brazil
Carrick Felix,CLE,30.0,G-F,6-6,201,Arizona State,USA
Noel Felix,OKC,16.0,F,6-9,225,Fresno State,USA
Ray Felix,NYK,14.0,C,6-11,220,Long Island-Brooklyn,USA
Raymond Felton,CHA,2.0,G,6-1,205,North Carolina,USA
Jake Fendley,DET,6.0,G,6-0,180,Northwestern,USA
Bill Fenley,BOS,7.0,F,6-3,190,Manhattan,USA
Desmond Ferguson,POR,5.0,F,6-7,210,Detroit,USA
Terrance Ferguson,OKC,23,G,6-6,190,,USA
Rudy Fernandez,POR,5,G,6-6,185,DKV Joventut,Spain
Bruno Fernando,ATL,20,F-C,6-10,240,Maryland,Angola
Eric Fernsten,BOS,45,C,6-10,205,San Francisco,USA
Al Ferrari,ATL,22,G,6-4,190,Michigan State,USA
Rolando Ferreira,POR,32,F,7-1,240,Houston,USA
Duane Ferrell,ATL,33,F,6-7,215,Georgia Tech,USA
Yogi Ferrell,SAC,11,G,6-0,178,Indiana,USA
Arnie Ferrin,LAL,18,F,6-4,180,Utah,USA
Bob Ferry,DET,12,C,6-8,230,St. Louis,USA
Danny Ferry,CLE,35,F,6-10,235,Duke,USA
Kyrylo Fesenko,UTA,44,C,7-1,280,Cherkaski,Ukraine
Kenny Fields,MIL,54,F,6-5,220,UCLA,USA
Landry Fields,NYK,2,G-F,6-7,215,Stanford,USA
Ron Filipek,PHI,20,F,6-5,205,Tennessee Tech,USA
Greg Fillmore,NYK,34,C,7-1,240,Cheyney,USA
Hank Finkel,BOS,29,C,7-0,240,Dayton,USA
Michael Finley,DAL,40,G-F,6-7,225,Wisconsin,USA
Danny Finn,GSW,7,G,6-1,185,St. John's (NY),USA
Dorian Finney-Smith,BKN,28,F,6-7,220,Florida,USA
Matt Fish,LAC,50,C,6-11,265,North Carolina-Wilmington,USA
Derek Fisher,LAL,6,G,6-1,210,Arkansas-Little Rock,USA
Gerald Fitch,MIA,4,G,6-3,188,Kentucky,USA
Malik Fitts,LAC,8,F,6-5,230,St. Mary's College,USA
Bob Fitzgerald,HUS,10 12,F,6-5,190,Fordham,USA
Dick Fitzgerald,HUS,,F,6-2,175,Seton Hall,USA
Marcus Fizer,CHI,21,F,6-8,260,Iowa State,USA
Jerry Fleishman,GSW,4,G,6-2,190,New York University,USA
Al Fleming,OKC,30,F,6-7,215,Arizona,USA
Ed Fleming,LAL,50,G,6-3,189,Niagara,USA
Vern Fleming,IND,10,G,6-5,185,Georgia,USA
Luis Flores,GSW,12,G,6-2,195,Manhattan,USA
Bruce Flowers,CLE,23,F,6-8,225,Notre Dame,USA
Sleepy Floyd,HOU,12,G,6-3,170,Georgetown,USA
Jonny Flynn,MIN,3,G,6-0,185,Syracuse,USA
Malachi Flynn,TOR,22,G,6-1,175,San Diego State,USA
Mike Flynn,IND,44,G,6-2,180,Kentucky,USA
Larry Fogle,NYK,44,G,6-5,205,Canisius,USA
Jack Foley,NYK,7,F,6-3,170,Holy Cross,USA
Ike Fontaine,MEM,,,,,Washington State,USA
Levi Fontaine,GSW,12,G,6-4,190,Maryland-Eastern Shore,USA
Simone Fontecchio,UTA,16,F,6-7,209,Baskonia,Italy
Jeff Foote,NOP,54,C-F,7-0,265,Cornell,USA
Bryn Forbes,MIN,6,G,6-2,205,Michigan State,USA
Gary Forbes,DEN,3,F,6-7,220,Massachusetts,Panama
Aleem Ford,ORL,12,F,6-8,220,Wisconsin,USA
Alphonso Ford,OKC,8,F,6-1,190,Mississippi Valley State,USA
Alton Ford,PHX,4,F,6-9,280,Houston,USA
Chris Ford,DET,42,G,6-5,190,Villanova,USA
Don Ford,LAL,35,F,6-9,215,California-Santa Barbara,USA
Jake Ford,OKC,33.0,G,6-3,180,Maryland-Eastern Shore,USA
Phil Ford,SAC,1.0,G,6-2,175,North Carolina,USA
Sharrod Ford,PHX,,F,6-9,235,Clemson,USA
Sherell Ford,OKC,1.0,F,6-7,210,Illinois-Chicago,USA
T. J.Ford,IND,5.0,G,6-0,165,Texas-Austin,USA
Donnie Forman,LAL,22.0,G,5-10,175,New York University,USA
Bayard Forrest,PHX,35.0,C,6-10,235,Grand Canyon,USA
Trent Forrest,ATL,2.0,G,6-4,210,Florida State,USA
Joseph Forte,OKC,40.0,G,6-4,194,North Carolina,USA
Courtney Fortson,HOU,9.0,G,5-11,185,Arkansas,USA
Danny Fortson,DEN,21.0,C-F,6-8,260,Cincinnati,USA
Fred Foster,PHI,5.0,F,6-5,210,Miami (Ohio),USA
Greg Foster,UTA,43.0,C,6-11,250,Texas-El Paso,USA
Jeff Foster,IND,10.0,F-C,6-11,250,Southwest Texas State,USA
Rod Foster,PHX,10.0,G,6-1,160,UCLA,USA
Michael Foster Jr.,PHI,35.0,F,6-8,250,NBA G League Ignite,USA
Antonis Fotsis,MEM,6.0,F,6-10,219,Panathinaikos,Greece
Evan Fournier,NYK,13.0,G-F,6-6,205,Poitiers Basket 86,France
Larry Foust,DET,14.0,C,6-9,215,La Salle,USA
Jerry Fowler,ATL,,C,6-7,230,Missouri,USA
Tremaine Fowlkes,LAC,24.0,F,6-6,212,Fresno State,USA
De' AaronFox,SAC,5.0,G,6-3,185,Kentucky,USA
Harold Fox,LAC,7.0,G,6-2,175,Jacksonville,USA
Jim Fox,OKC,40.0,C,6-10,230,South Carolina,USA
Rick Fox,LAL,17.0,F,6-7,235,North Carolina,Canada
Randy Foye,MIN,2.0,G,6-4,218,Villanova,USA
Adonal Foyle,GSW,31.0,C,6-10,270,Colgate,St. Vincent & Grenadines
Richie Frahm,OKC,14.0,G,6-5,210,Gonzaga,USA
Steve Francis,HOU,3.0,G,6-3,210,Maryland,USA
Tellis Frank,GSW,32.0,F,6-10,225,Western Kentucky,USA
Nat Frankel,PIT,,F,6-0,195,Brooklyn,USA
Jamaal Franklin,MEM,22.0,G,6-5,191,San Diego State,USA
Robert Franks,ORL,22.0,F,6-7,225,Washington State,USA
Tim Frazier,CLE,10.0,G,6-0,170,Penn State,USA
Walt Frazier,NYK,10.0,G,6-4,200,Southern Illinois,USA
Will Frazier,GSW,,F,6-7,210,Grambling,USA
Michael Frazier II,HOU,21.0,G,6-3,200,Florida,USA
Melvin Frazier Jr.,OKC,6.0,G-F,6-5,215,Tulane,USA
Anthony Frederick,CHA,24.0,F,6-7,205,Pepperdine,USA
Jimmer Fredette,SAC,32.0,G,6-2,195,Brigham Young,USA
World Free,CLE,21.0,G,6-3,185,Guilford,USA
Enes Freedom,BOS,11.0,C,6-10,250,Fenerbahce,Turkey
Joel Freeland,POR,19.0,C-F,6-10,225,Malaga,United Kingdom
Donnie Freeman,LAL,20.0,G,6-3,185,Illinois,USA
Gary Freeman,MIL,23.0,F,6-9,210,Oregon State,USA
Rod Freeman,PHI,26.0,F,6-7,225,Vanderbilt,USA
Matt Freije,NOP,,F,6-9,249,Vanderbilt,USA
Frido Frey,NYK,4.0,F,6-2,195,Long Island-Brooklyn,USA
Larry Friend,NYK,7.0,G,6-4,185,California,USA
Pat Frink,SAC,17.0,G,6-4,195,Colorado,USA
Jim Fritsche,BAL,8.0,C,6-8,210,Hamline,USA
Channing Frye,PHX,9.0,F-C,7-0,255,Arizona,USA
Bernie Fryer,POR,25.0,G,6-3,185,Brigham Young,USA
Frank Fucarino,HUS,,F,6-2,175,Long Island-Brooklyn,USA
Herm Fuetsch,BAL,,G,6-0,170,Polytechnic HS (CA),USA
Joe Fulks,GSW,10.0,F,6-5,190,Murray State,USA
Hiram Fuller,ATL,15.0,F,6-9,240,Fresno State,USA
Todd Fuller,GSW,52.0,C,6-11,255,North Carolina State,USA
Tony Fuller,DET,,G,6-4,180,Pepperdine,USA
Markelle Fultz,ORL,20.0,G,6-4,209,Washington,USA
Lawrence Funderburke,SAC,51.0,F,6-9,230,Ohio State,USA
Terry Furlow,CLE,25.0,G,6-5,190,Michigan State,USA
Billy Gabor,PHI,7.0,G,5-11,170,Syracuse,USA
Wenyen Gabriel,LAL,35.0,F,6-9,205,Kentucky,South Sudan
Dan Gadzuric,MIL,50.0,C,6-11,240,UCLA,Netherlands
Tony Gaffney,MEM,24.0,F,6-8,205,Massachusetts,USA
Daniel Gafford,WAS,21.0,F-C,6-10,234,Arkansas,USA
Deng Gai,PHI,35.0,F,6-9,250,Fairfield,South Sudan
Elmer  R.Gainer,WAT,,,,,DePaul,USA
Corey Gaines,BKN,5.0,G,6-3,195,Loyola-Marymount,USA
Reece Gaines,ORL,34.0,G,6-6,205,Louisville,USA
Sundiata Gaines,BKN,1.0,G,6-1,200,Georgia,USA
Mike Gale,SAS,12.0,G,6-4,185,Elizabeth City State,USA
Chad Gallagher,UTA,55.0,C,6-10,255,Creighton,USA
Harry Gallatin,NYK,10.0,F,6-6,210,Truman State,USA
Danilo Gallinari,BOS,8.0,F,6-10,236,Olimpia Milano,Italy
Langston Galloway,IND,2.0,G,6-1,200,St. Joseph's (PA),USA
Dave Gambee,PHI,20.0,F,6-6,215,Oregon State,USA
Kevin Gamble,BOS,40.0,G-F,6-6,225,Iowa,USA
Bob Gantt,WAS,,F,6-4,205,Duke,USA
Jorge Garbajosa,TOR,15.0,F,6-9,245,Malaga,Spain
Ruben Garces,PHX,,F,,,Providence,USA
Alex Garcia,NOP,10.0,G-F,6-3,195,Ribeirao Preto,Brazil
Francisco Garcia,SAC,32.0,G-F,6-7,195,Louisville,Dominican Republic
Earl Gardner,LAL,14.0,F,6-3,195,DePauw,USA
Thomas Gardner,ATL,3.0,G,6-5,225,Missouri,USA
Vern Gardner,GSW,12.0,C,6-5,200,Utah,USA
Jack Garfinkel,BOS,21.0,G,6-0,190,St. John's (NY),USA
Patricio Garino,ORL,29.0,G-F,6-6,203,George Washington,Argentina
Darius Garland,CLE,10.0,G,6-1,192,Vanderbilt,USA
Gary Garland,DEN,24.0,G,6-4,180,DePaul,USA
Winston Garland,GSW,22.0,G,6-2,170,Missouri State,USA
Dick Garmaker,LAL,17.0,G,6-3,200,Minnesota,USA
Chris Garner,TOR,2.0,G,5-10,156,Memphis,USA
Bill Garnett,DAL,20.0,F,6-9,225,Wyoming,USA
Kevin Garnett,MIN,21.0,F,6-11,240,Farragut Academy HS (IL),USA
Marlon Garnett,BOS,20.0,G,6-2,186,Santa Clara,USA
Billy Garrett,NYK,3.0,G-F,6-6,215,DePaul,USA
Calvin Garrett,HOU,0.0,F,6-7,190,Oral Roberts,USA
Dean Garrett,MIN,22.0,C,6-11,250,Indiana,USA
Diante Garrett,UTA,8.0,G,6-4,190,Iowa State,USA
Eldo Garrett,LAC,14.0,G,6-3,185,Southern Illinois,USA
Marcus Garrett,MIA,0.0,G,6-5,205,Kansas,USA
Rowland Garrett,CHI,24.0,F,6-6,210,Florida State,USA
Tom Garrick,LAC,5.0,G,6-2,185,Rhode Island,USA
John Garris,CLE,55.0,F,6-8,205,Boston College,USA
Kiwane Garris,DEN,3.0,G,6-2,183,Illinois,USA
Pat Garrity,ORL,8.0,F,6-9,238,Notre Dame,USA
Usman Garuba,HOU,16.0,F,6-8,229,Real Madrid,Spain
Jim Garvin,LAC,30.0,F,6-7,200,Boston University,USA
Luka Garza,MIN,55.0,C,6-10,243,Iowa,USA
Marc Gasol,MEM,14.0,C,6-11,255,FC Barcelona,Spain
Pau Gasol,LAL,16.0,C-F,7-0,250,FC Barcelona,Spain
Frank Gates,AND,,G,6-0,160,Sam Houston State,USA
Chris Gatling,GSW,32.0,C-F,6-10,230,Old Dominion,USA
Kenny Gattison,CHA,44.0,F,6-8,225,Old Dominion,USA
Rudy Gay,UTA,22.0,F-G,6-8,250,Connecticut,USA
Ed Gayda,ATL,10.0,G,6-4,210,Washington State,USA
Andrew Gaze,SAS,4.0,F,6-7,205,Seton Hall,USA
Michael Gbinije,DET,9.0,G-F,6-7,200,Syracuse,USA
Reggie Geary,SAS,4.0,G,6-2,187,Arizona,USA
Alonzo Gee,CLE,15.0,F,6-6,225,Alabama,USA
Matt Geiger,CHA,52.0,C,7-1,248,Georgia Tech,USA
Mickael Gelabale,OKC,15.0,F,6-7,215,Real Madrid,France
Devean George,LAL,19.0,F,6-8,235,Augsburg,USA
Jack George,GSW,5.0,G,6-3,190,La Salle,USA
Paul George,LAC,13.0,F,6-8,220,Fresno State,USA
Tate George,BKN,12.0,G,6-5,190,Connecticut,USA
Marcus Georges-Hunt,MIN,13.0,G,6-5,226,Georgia Tech,USA
Gus Gerard,SAC,22.0,F,6-8,200,Virginia,USA
Derrick Gervin,BKN,30.0,F,6-8,200,Texas-San Antonio,USA
George Gervin,SAS,44.0,G,6-7,180,Eastern Michigan,USA
Gorham Getchell,PIT,,C,6-4,205,Temple,USA
John Gianelli,NYK,40.0,C,6-10,220,Pacific,USA
Dick Gibbs,LAC,21.0,F,6-5,210,Texas-El Paso,USA
